"","SiteID","C14ID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region","Ref","SiteName","Latitude","Longitude","Prefecture"
"1",1,2,3550,40,"Beta-140236",-27.1,NA,"Charcoal","intcal13",2,"http://sitereports.nabunken.go.jp/1018","Inayama",40.819889,140.788139,"Aomori"
"2",1,3,3650,40,"Beta-140237",-26.1,NA,"Charcoal","intcal13",2,"http://sitereports.nabunken.go.jp/1018","Inayama",40.819889,140.788139,"Aomori"
"3",1,421,3630,40,"Beta-140236",-26.1,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Inayama",40.819889,140.788139,"Aomori"
"4",1,423,3630,40,"Beta-140236",-26.1,NA,"Charred Remain","intcal13",2,"Kunikita et al 2008 table 3","Inayama",40.819889,140.788139,"Aomori"
"5",3,170,5005,35,"MTC-07410",-26.1,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Higashimichinokami",40.6976,141.266,"Aomori"
"6",5,15,4360,45,"MTC-04036",-27.2,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"7",5,17,4220,50,"MTC-04037",-26.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"8",5,19,4630,40,"Beta-194402",-26.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"9",5,20,4810,40,"MTC-04300",-30,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"10",5,16,4845,40,"MTC-04299",-28.7,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"11",5,22,4530,45,"MTC-04038",-27.5,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"12",5,28,4900,60,"MTC-04711",-27.8,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"13",5,32,5310,45,"MTC-04043",-27.3,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"14",5,21,4530,40,"MTC-04588",-26.3,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"15",5,36,4900,90,"MTC-04712",-28.2,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"16",5,37,4520,60,"MTC-04302",-26.1,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"17",5,38,5195,40,"MTC-04045",-26.4,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"18",5,34,4695,45,"MTC-04044",-27.4,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"19",5,42,3900,80,"IAAA-40509",-32.02,0.61,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"20",5,43,4110,40,"IAAA-32085",-28.77,0.95,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"21",5,44,4440,40,"IAAA-32084",-28.55,0.88,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"22",5,41,4795,40,"MTC-04304",-29.1,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"23",5,25,4530,50,"MTC-04039",-28,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"24",5,26,5040,190,"MTC-04040",-51,NA,"Pottery Food Residue","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"25",5,48,4340,45,"MTC-05828",-28.9,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"26",5,49,3755,45,"MTC-05829",-30.5,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"27",5,50,4115,45,"MTC-05830",-26.7,NA,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"28",5,51,3880,25,"PLD-4858",-27.08,0.12,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"29",5,52,3960,25,"PLD-4859",-26.62,0.11,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"30",5,53,3980,25,"PLD-4860",-26.76,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"31",5,54,3945,25,"PLD-4861",-27,0.12,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"32",5,56,3985,25,"PLD-4863",-27.03,0.11,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"33",5,58,3975,25,"PLD-4865",-27.38,0.11,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"34",5,61,4525,30,"PLD-4868",-26.4,0.13,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"35",5,45,4410,40,"IAAA-32082",-28.24,0.88,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"36",5,67,4655,25,"PLD-4852",-27.14,0.16,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"37",5,68,4695,25,"PLD-4853",-26.04,0.12,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"38",5,73,4630,35,"PLD-5156",-38.16,0.76,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"39",5,74,4735,25,"PLD-5157",-26.48,0.11,"Charred Remain","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"40",5,76,4420,40,"IAAA-71879",-28.3,0.52,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"41",5,77,4520,40,"IAAA-71880",-31.75,0.62,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"42",5,78,4590,40,"IAAA-71881",-28.26,0.49,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"43",5,79,4630,40,"IAAA-71882",-28.68,0.61,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"44",5,80,4730,40,"IAAA-71883",-27.52,0.37,"Seed/Nut","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"45",5,81,4080,70,"MTC-11854",-30.2,4.5,"Wood","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"46",5,92,3930,70,"MTC-11865",-30.8,4.6,"Wood","intcal13",2,"Kenichi Kobayashi  2009","Sannaimaruyama",40.8111,140.706,"Aomori"
"47",5,336,4842,86,"NUTA-5375",-26.4,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"48",5,338,5103,87,"NUTA-5373",-26.7,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"49",5,398,4470,50,"Beta-112337",-27.1,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"50",5,399,4410,60,"Beta-112338",-26.9,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"51",5,403,4330,50,"Beta-112342",-29,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
"52",5,404,4490,70,"Beta-111794",-28.4,NA,"Wood","intcal13",2,"Kunikita et al 2008 table 3","Sannaimaruyama",40.8111,140.706,"Aomori"
