"C14ID","SiteID","C14Age","C14Error","LabCode","deltaC13","deltaC13Error","Material","calCurve","Region"
2,1,3510,40,"Beta-140236",-27.1,NA,"Charcoal","intcal13",2
3,1,3630,40,"Beta-140237",-26.1,NA,"Charcoal","intcal13",2
6,22,4425,45,"MTC-08487",-28.4,0.9,"Pottery Food Residue","intcal13",2
8,22,4600,45,"MTC-08489",-29.8,0.8,"Pottery Food Residue","intcal13",2
9,22,4650,45,"MTC-08490",-27.7,1.2,"Pottery Food Residue","intcal13",2
10,22,4380,100,"MTC-08491",-31.5,0.8,"Pottery Food Residue","intcal13",2
15,5,4360,45,"MTC-04036",-27.2,NA,"Pottery Food Residue","intcal13",2
16,5,4845,40,"MTC-04299",-28.7,NA,"Pottery Food Residue","intcal13",2
17,5,4220,50,"MTC-04037",-26.7,NA,"Pottery Food Residue","intcal13",2
19,5,4630,40,"Beta-194402",-26.7,NA,"Pottery Food Residue","intcal13",2
20,5,4810,40,"MTC-04300",-30,NA,"Pottery Food Residue","intcal13",2
21,5,4530,40,"MTC-04588",-26.3,NA,"Pottery Food Residue","intcal13",2
22,5,4530,45,"MTC-04038",-27.5,NA,"Pottery Food Residue","intcal13",2
23,5,4570,40,"Beta-189559",-26.3,NA,"Pottery Food Residue","intcal13",2
24,5,4555,40,"MTC-04301",-27.1,NA,"Pottery Food Residue","intcal13",2
25,5,4530,50,"MTC-04039",-28,NA,"Pottery Food Residue","intcal13",2
26,5,5040,190,"MTC-04040",-51,NA,"Pottery Food Residue","intcal13",2
28,5,4900,60,"MTC-04711",-27.8,NA,"Pottery Food Residue","intcal13",2
32,5,5310,45,"MTC-04043",-27.3,NA,"Pottery Food Residue","intcal13",2
34,5,4695,45,"MTC-04044",-27.4,NA,"Pottery Food Residue","intcal13",2
36,5,4900,90,"MTC-04712",-28.2,NA,"Pottery Food Residue","intcal13",2
37,5,4520,60,"MTC-04302",-26.1,NA,"Pottery Food Residue","intcal13",2
38,5,5195,40,"MTC-04045",-26.4,NA,"Pottery Food Residue","intcal13",2
41,5,4795,40,"MTC-04304",-29.1,NA,"Charred Remain","intcal13",2
42,5,3900,80,"IAAA-40509",-32.02,0.61,"Charred Remain","intcal13",2
43,5,4110,40,"IAAA-32085",-28.77,0.95,"Charred Remain","intcal13",2
44,5,4440,40,"IAAA-32084",-28.55,0.88,"Charred Remain","intcal13",2
45,5,4410,40,"IAAA-32082",-28.24,0.88,"Charred Remain","intcal13",2
46,5,4150,40,"IAAA-40510",-28.61,0.68,"Charred Remain","intcal13",2
47,5,4230,35,"MTC-04303",-26.6,NA,"Charred Remain","intcal13",2
48,5,4340,45,"MTC-05828",-28.9,NA,"Charred Remain","intcal13",2
49,5,3755,45,"MTC-05829",-30.5,NA,"Charred Remain","intcal13",2
50,5,4115,45,"MTC-05830",-26.7,NA,"Charred Remain","intcal13",2
51,5,3880,25,"PLD-4858",-27.08,0.12,"Charred Remain","intcal13",2
52,5,3960,25,"PLD-4859",-26.62,0.11,"Charred Remain","intcal13",2
53,5,3980,25,"PLD-4860",-26.76,0.13,"Charred Remain","intcal13",2
54,5,3945,25,"PLD-4861",-27,0.12,"Charred Remain","intcal13",2
56,5,3985,25,"PLD-4863",-27.03,0.11,"Seed/Nut","intcal13",2
58,5,3975,25,"PLD-4865",-27.38,0.11,"Charred Remain","intcal13",2
61,5,4525,30,"PLD-4868",-26.4,0.13,"Charred Remain","intcal13",2
66,5,4720,25,"PLD-4851",-26.34,0.14,"Charred Remain","intcal13",2
67,5,4655,25,"PLD-4852",-27.14,0.16,"Charred Remain","intcal13",2
68,5,4695,25,"PLD-4853",-26.04,0.12,"Charred Remain","intcal13",2
73,5,4630,35,"PLD-5156",-38.16,0.76,"Charred Remain","intcal13",2
74,5,4735,25,"PLD-5157",-26.48,0.11,"Charred Remain","intcal13",2
76,5,4420,40,"IAAA-71879",-28.3,0.52,"Seed/Nut","intcal13",2
77,5,4520,40,"IAAA-71880",-31.75,0.62,"Seed/Nut","intcal13",2
78,5,4590,40,"IAAA-71881",-28.26,0.49,"Seed/Nut","intcal13",2
79,5,4630,40,"IAAA-71882",-28.68,0.61,"Seed/Nut","intcal13",2
80,5,4730,40,"IAAA-71883",-27.52,0.37,"Seed/Nut","intcal13",2
