"SiteID","SiteName","Latitude","Longitude","Prefecture"
1,"Inayama",40.819889,140.788139,"Aomori"
3,"Higashimichinokami",40.6976,141.266,"Aomori"
5,"Sannaimaruyama",40.8111,140.706,"Aomori"
6,"Chikano",40.805,140.705,"Aomori"
8,"Shinden",40.4795,141.492,"Aomori"
9,"Tashiro",40.3934,141.528,"Aomori"
10,"Sasanosawa(3)",40.5008,141.148,"Aomori"
12,"Korekawanakai",40.4719,141.495,"Aomori"
14,"Yoneyama(2)",40.8427,140.848,"Aomori"
15,"Sannaisawabe(3)",40.8157,140.691,"Aomori"
20,"Kawaratai",40.5267,140.226,"Aomori"
22,"Sannaimaruyama(9)",40.8082,140.693,"Aomori"
23,"Katano",40.4784,141.488,"Aomori"
24,"Neinuma(3)",40.7521,141.369,"Aomori"
26,"Sunawa",40.7261,140.396,"Aomori"
31,"Futamata(2)",40.7985,140.676,"Aomori"
33,"Kazahari(1)",40.4744,141.501,"Aomori"
35,"Komakino",40.7341,140.731,"Aomori"
37,"Tamamizu(3)",40.8416,140.838,"Aomori"
40,"Sannaimaruyama(6)",40.8,140.7,"Aomori"
42,"Akedo",40.5257,141.218,"Aomori"
44,"Nishibaritai",40.4724,141.219,"Aomori"
45,"Kaminojiri",40.8438,140.846,"Aomori"
46,"Asahiyama(2)",40.7138,140.709,"Aomori"
47,"Nojiri(1)",40.7457,140.581,"Aomori"
49,"Shishigami",40.4747,141.185,"Aomori"
51,"Shinjohiraoka(4)",40.8313,140.688,"Aomori"
60,"Takaya",40.5267,141.217,"Aomori"
72,"Yamada(2)",41.005,140.643,"Aomori"
73,"Nakadaira",40.7224,140.551,"Aomori"
93,"Rokujuhara A",36.0668,140.192,"Ibaragi"
95,"Higashimine",36.5,139.04,"Gunma"
96,"Gotanda",36.268,139.294,"Gunma"
97,"Asahikubo C",36.44,139.06,"Gunma"
100,"Shinoharaoohara",35.5,139.62,"Kanagawa"
101,"Kohoku New Town - Takayama",35.494,139.498,"Kanagawa"
103,"Aburatsubo",35.1598,139.61808,"Kanagawa"
104,"Harahigashi",35.5858,139.312,"Kanagawa"
105,"Kawashirinakamura",35.5908,139.302,"Kanagawa"
106,"SFC",35.387748,139.427814,"Kanagawa"
108,"Sumifurusawaminami I",35.7094,140.286,"Chiba"
109,"Kasori",35.6239,140.164,"Chiba"
110,"Awashimadai",35.7199,140.838,"Chiba"
111,"Musashinokokubunji",35.6949,139.477,"Tokyo"
112,"Kitaegota",35.726,139.669,"Tokyo"
114,"Tama New Town N. 520",35.6269,139.465,"Tokyo"
115,"Tadao",35.569,139.413,"Tokyo"
118,"Oohashi",35.6533,139.68,"Tokyo"
119,"Mukaigo",35.6888,139.423,"Tokyo"
120,"Nakauchi",37.0094,140.167,"Tochigi"
122,"Douzenkubo",36.29,138.88,"Gunma"
123,"Jinba",36.4,138.83,"Gunma"
124,"Ushiroya",36.031664,139.565932,"Saitama"
125,"Kamitsuchidanaminami",35.4155,139.446,"Kanagawa"
126,"Inariyama",35.4277,139.625,"Kanagawa"
128,"Sanada – Kitakaname Group",35.3667,139.281,"Kanagawa"
129,"Nishinei",35.7862,140.122,"Chiba"
131,"Doumekiyatsu",35.75,139.91,"Chiba"
132,"Noda",35.5553,140.187,"Chiba"
133,"Miwanoyama",35.86,139.9,"Chiba"
134,"Tama New Town N. 243",35.5975,139.366,"Tokyo"
